Sample ID,Sequence Round,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Region:Site
Clip_02,1,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Clip_03,1,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Clip_15,1,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Clip_19,1,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Clip_21,1,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Clip_26,1,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Coco_611,1,611,AP3XF77,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_612,1,612,AP3XF78,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_613,1,613,AP3XF79,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_614,1,614,AP3XF80,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_615,1,615,AP3XF81,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_616,1,616,AP3XF82,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_617,1,617,AP3XF83,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_618,1,618,AP3XF84,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_619,1,619,AP3XF85,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_620,1,620,AP3XF86,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_621,1,621,AP3XF87,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_644,1,644,AP3XF88,NA,Costa Rica,Coco,Manuelita,5/26/21,5.56097,-87.04643,Coco:Manuelita
Coco_645,1,645,AP3XF89,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,Coco:Manuelita
