Sample ID,Cattle Tag Number,Skeleton Floy Tag Number,Falcon Tube RRR Number,Biorepository Number,Region,Site,Sampling Date,Latitude,Longitude,Depth (ft),Photo Range,Species identification ,"Collecting Notes (Time, Tide, Weather, etc.)",Morphology Notes
Coiba_697_06110,697,02301,06110,AP3XF37,Coiba,Wahoo,11/29/21,7.686389,-81.60889,30,PB290115-PB290127,P. capitata,,
Coiba_929_06111,929,02302,06111,AP3XF38,Coiba,Wahoo,11/29/21,7.686389,-81.60889,21,PB290128-PB290142,P. effusa,,
Coiba_698_06112,698,02303,06112,AP3XF39,Coiba,Wahoo,11/29/21,7.686389,-81.60889,22,PB290143-PB290158,P. grandis,,
Coiba_931_06113,931,02304,06113,AP3XF40,Coiba,Wahoo,11/29/21,7.686389,-81.60889,23,PB290063-PB290077,P. capitata,,
Coiba_680_06114,680,02305,06114,AP3XF41,Coiba,Wahoo,11/29/21,7.686389,-81.60889,15,PB290159-PB290176,P. capitata,,
Coiba_909_06115,909,02306,06115,AP3XF42,Coiba,Wahoo,11/29/21,7.686389,-81.60889,29,PB290097-290114,P. verrucosa*,,
Coiba_685_06116,685,02307,06116,AP3XF43,Coiba,Wahoo,11/29/21,7.686389,-81.60889,25,PB290083-PB290096,P. effusa,,
Coiba_930_06117,930,02308,06117,AP3XF44,Coiba,Wahoo,11/29/21,7.686389,-81.60889,30,PB290048-PB290062,P. effusa,,
Coiba_693_06118,693,02309,06118,AP3XF45,Coiba,Wahoo,11/29/21,7.686389,-81.60889,21,PB290272-PB290285,P. verrucosa*,,
Coiba_910_06119,910,02310,06119,AP3XF46,Coiba,Wahoo,11/29/21,7.686389,-81.60889,17,PB290256-PB290271,P. grandis,,
Coiba_686_06120,686,02311,06120,AP3XF47,Coiba,Wahoo,11/29/21,7.686389,-81.60889,27,PB290233-PB290243,P. verrucosa*,,
Coiba_927_06332,927,02312,06332,AP3XF48,Coiba,Wahoo,11/29/21,7.686389,-81.60889,21,PB290244-PB290255,P. capitata,,
,691,02313,06333,AP3XF49,Coiba,Wahoo,11/29/21,7.686389,-81.60889,27,PB290219-PB290232,P. effusa,,
,928,02314,06334,AP3XF50,Coiba,Wahoo,11/29/21,7.686389,-81.60889,22,PB290177-PB290193,P. effusa,,
,682,02315,06335,AP3XF51,Coiba,Wahoo,11/29/21,7.686389,-81.60889,29,PB290208-PB290218,P. verrucosa*,,
,926,02316,06336,AP3XF52,Coiba,Wahoo,11/29/21,7.686389,-81.60889,25,PB290194-PB290207,P. effusa,,
,901,02317,06337,AP3XF53,Coiba,Canales,11/29/21,7.695942,-81.632929,9,PB290397-PB290411,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,902,02318,06338,AP3XF54,Coiba,Canales,11/29/21,7.695942,-81.632929,13,PB290378-PB290396,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,679,02319,06339,AP3XF55,Coiba,Canales,11/29/21,7.695942,-81.632929,17,PB290361-PB290377,P. elegans,,"Very fine branching morphology, cf. damicornis"
,683,02320,06340,AP3XF56,Coiba,Canales,11/29/21,7.695942,-81.632929,14,PB290294-PB290304,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,677,02321,06341,AP3XF57,Coiba,Canales,11/29/21,7.695942,-81.632929,9,PB290347-PB290360,P. elegans,,
,688,02322,06342,AP3XF58,Coiba,Canales,11/29/21,7.695942,-81.632929,6,PB290334-PB290346,P. capitata,,
,903,02323,06365,AP3XF59,Coiba,Canales,11/29/21,7.695942,-81.632929,7,PB290318-PB290333,P. verrucosa,,
,922,02324,06366,AP3XF60,Coiba,Canales,11/29/21,7.695942,-81.632929,11,PB290305-PB290317,P. verrucosa,,
,925,02325,06375,AP3XF61,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,8,PB300425-PB300444,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,907,02326,06299,AP3XF62,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,9,PB300445-PB300463,P. elegans,,
,914,02327,06373,AP3XF63,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,9,PB300464-PB300479,P. verrucosa,,
,917,02328,06372,AP3XF64,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,13,PB300480-PB300496,P. capitata,,
,906,02330,06374,AP3XF65,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,14,PB300497-PB300516,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,915,02331,06368,AP3XF66,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,15,PB300517-PB399531,P. verrucosa*,,
,696,02332,06371,AP3XF67,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,14,PB300532-PB300546,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,904,02333,06367,AP3XF68,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,22,PB300547-PB300567,P. verrucosa,,"Very fine branching morphology, cf. damicornis"
,900,02329,06369,AP3XF69,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,20,PB300568-PB300584,P. elegans,,
,692,02334,06370,AP3XF70,Coiba,Uvas,11/30/21,7.815128015,-81.75892202,18,PB300585-PB300596,P. elegans,,
,920,02335,06304,AP3XF71,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,30,PB300597-PB300613,P. verrucosa*,,
,908,02337,06305,AP3XF72,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,31,PB300614-PB300636,P. effusa,,
,694,02336,06303,AP3XF73,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,26,PB300637-PB300650,P. effusa,,
,918,02338,06302,AP3XF74,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,26,PB300651-PB300665,P. effusa,,
,684,02339,06301,AP3XF75,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,29,PB300666-PB300681,P. grandis,,
,919,02340,06300,AP3XF76,Coiba,Uva Channel,11/30/21,7.861944,-81.78083,25,PB300682-PB300697,P. capitata,,Very unusual morphology
Cocos_611_04992,611,,04992,AP3XF77,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,P5260976 - P5260979,P. meandrina,,
,612,,04993,AP3XF78,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. meandrina,,
,613,,04994,AP3XF79,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. grandis,,
,614,,04995,AP3XF80,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. meandrina,,
,615,,04996,AP3XF81,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. meandrina,,
,616,,04997,AP3XF82,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. meandrina,,
,617,,04998,AP3XF83,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,,,
,618,,04999,AP3XF84,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,,,
,619,,05000,AP3XF85,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,,,
,620,,05001,AP3XF86,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. grandis,,
,621,,05002,AP3XF87,Isla del Coco,Chatham,5/26/21,5.55247,-87.04112,,,P. grandis,,
,644,,05234,AP3XF88,Isla del Coco,Manuelita,5/26/21,5.56097,-87.04643,,,P. effusa,,
,645,,05235,AP3XF89,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. effusa,,
,646,,05236,AP3XF90,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. meandrina,,
,647,,05237,AP3XF91,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. meandrina,,
,648,,05238,AP3XF92,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,,,Very unusual morphology
,649,,05239,AP3XF93,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. effusa,,
,650,,05240,AP3XF94,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. effusa,,
,651,,05241,AP3XF95,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. meandrina,,
,652,,05242,AP3XF96,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. verrucosa,,
,653,,05243,AP3XF97,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. effusa,,
,654,,05244,AP3XF98,Isla del Coco,Manuelita,5/27/21,5.56097,-87.04643,,,P. verrucosa,,
,655,,05113,AP3XF99,Isla del Coco,Weston,5/26/21,5.55259,-87.05227,,,,,
,656,,05114,AP3XG00,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,657,,05115,AP3XG01,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,658,,05116,AP3XG02,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,659,,05117,AP3XG03,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,660,,05118,AP3XG04,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,661,,05119,AP3XG05,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,662,,05120,AP3XG06,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,663,,05121,AP3XG07,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,664,,05122,AP3XG08,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,665,,05123,AP3XG09,Isla del Coco,Weston,5/27/21,5.55259,-87.05227,,,,,
,666,,05527,AP3XG10,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. verrucosa/P. meandrina,,Very unusual morphology
,667,,05528,AP3XG11,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. grandis,,
,668,,05529,AP3XG12,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. verrucosa,,
,669,,05530,AP3XG13,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. grandis,,
,670,,05531,AP3XG14,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. effusa,Not Obtained,
,671,,05532,AP3XG15,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. verrucosa,,
,672,,05533,AP3XG16,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. verrucosa,Not Obtained,
,673,,05534,AP3XG17,Isla del Coco,Weston shallow,5/29/21,5.55239,-87.05061,,,P. effusa,Not Obtained,
