Sample ID,Genotype ID,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Set,STRI,RSMAS,ANALYSIS,TECHNICAL_REPLICATE,SINGLE_GENOTYPE,CLONAL_GENOTYPE,NOCLONES_SAMPLE,Region:Site,haplotype,mtorf_type,Species
Coco_611_AP3XF77,,611,AP3XF77,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,IV,Type 1a,P. meandrina
Coco_612_AP3XF78,,612,AP3XF78,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,II,Type 3b,P. verrucosa 3b
Coco_613_AP3XF79,,613,AP3XF79,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,II,Type 3b,P. verrucosa 3b
Coco_614_AP3XF80,,614,AP3XF80,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,I,Type 3a,P. verrucosa 3a
Coco_615_AP3XF81,,615,AP3XF81,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,II,Type 3b,P. verrucosa 3b
Coco_616_AP3XF82,,616,AP3XF82,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,II,Type 3b,P. verrucosa 3b
Coco_617_AP3XF83,,617,AP3XF83,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,IV,Type 1a,P. grandis
Coco_618_AP3XF84,Coco_A,618,AP3XF84,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Coco:Chatham,IV,Type 1a,P. meandrina
Coco_619_AP3XF85,,619,AP3XF85,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,IV,Type 1a,P. grandis
Coco_620_AP3XF86,,620,AP3XF86,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,IV,Type 1a,P. grandis
Coco_621_AP3XF87,,621,AP3XF87,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Chatham,IV,Type 1a,P. meandrina
Coco_644_AP3XF88,,644,AP3XF88,NA,Costa Rica,Coco,Manuelita,5/26/21,5.56097,-87.04643,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Manuelita,IV,Type 1a,P. grandis
Coco_645_AP3XF89,,645,AP3XF89,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Manuelita,IV,Type 1a,P. grandis
Coco_648_AP3XF92,,648,AP3XF92,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Manuelita,IV,Type 1a,P. grandis
Coco_649_AP3XF93,,649,AP3XF93,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Manuelita,IV,Type 1a,P. grandis
Coco_650_AP3XF94,,650,AP3XF94,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Manuelita,IV,Type 1a,P. grandis
Coco_651_AP3XF95,,651,AP3XF95,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Manuelita,IV,Type 1a,P. meandrina
Coco_652_AP3XF96,,652,AP3XF96,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Manuelita,IV,Type 1a,P. grandis
Coco_653_AP3XF97,Coco_B,653,AP3XF97,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Coco:Manuelita,II,Type 3b,P. verrucosa 3b
Coco_654_AP3XF98,,654,AP3XF98,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Manuelita,IV,Type 1a,P. grandis
Coco_655_AP3XF99,,655,AP3XF99,NA,Costa Rica,Coco,Weston,5/26/21,5.55259,-87.05227,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Weston,IV,Type 1a,P. grandis
Coco_656_AP3XG00,,656,AP3XG00,NA,Costa Rica,Coco,Weston,5/27/21,5.55259,-87.05227,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Weston,IV,Type 1a,P. grandis
Coco_665_AP3XG09,,665,AP3XG09,NA,Costa Rica,Coco,Weston,5/27/21,5.55259,-87.05227,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Coco:Weston,IV,Type 1a,P. grandis
