Sample ID,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Set,STRI,RSMAS,ANALYSIS,PANAMA_MANUSCRIPT,REPLICATE,SINGLETON,Region:Site,haplotype,mtorf_type,Species
BahiaCulebra_1,1,NA,NA,Costa Rica,Bahia Culebra,Guiri,,10.613675,-85.690042,UCR,FALSE,FALSE,TRUE,FALSE,TRUE,,Bahia Culebra:Guiri,IV,Type 1a,P. grandis
BahiaCulebra_3,3,NA,NA,Costa Rica,Bahia Culebra,Guiri,,10.613675,-85.690042,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Guiri,IV,Type 1a,P. grandis
BahiaCulebra_5,5,NA,NA,Costa Rica,Bahia Culebra,Guiri,,10.613675,-85.690042,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Guiri,IV,Type 1a,P. grandis
BahiaCulebra_6,6,NA,NA,Costa Rica,Bahia Culebra,Guiri,,10.613675,-85.690042,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Guiri,IV,Type 1a,P. grandis
BahiaCulebra_7,7,NA,NA,Costa Rica,Bahia Culebra,Guiri,,10.613675,-85.690042,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Guiri,IV,Type 1a,P. grandis
BahiaCulebra_8,8,NA,NA,Costa Rica,Bahia Culebra,Guiri,,10.613675,-85.690042,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Guiri,IV,Type 1a,P. grandis
BahiaCulebra_9,9,NA,NA,Costa Rica,Bahia Culebra,Guiri,,10.613675,-85.690042,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Guiri,IV,Type 1a,P. grandis
BahiaCulebra_10,10,NA,NA,Costa Rica,Bahia Culebra,Guiri,,10.613675,-85.690042,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Guiri,IV,Type 1a,P. grandis
BahiaCulebra_11,11,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,I,Type 3a,P. verrucosa 3a
BahiaCulebra_12,12,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,I,Type 3a,P. verrucosa 3a
BahiaCulebra_13,13,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_14,14,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,I,Type 3a,P. verrucosa 3a
BahiaCulebra_15,15,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_16,16,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_17,17,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_18,18,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_19,19,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_20,20,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,I,Type 3a,P. verrucosa 3a
BahiaCulebra_21,21,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_22,22,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_23,23,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_24,24,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,IV,Type 1a,P. grandis
BahiaCulebra_25,25,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,I,Type 3a,P. verrucosa 3a
BahiaCulebra_26,26,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,I,Type 3a,P. verrucosa 3a
BahiaCulebra_27,27,NA,NA,Costa Rica,Bahia Culebra,Playa Blanca,,10.610535,-85.686379,UCR,FALSE,FALSE,TRUE,FALSE,FALSE,,Bahia Culebra:Playa Blanca,I,Type 3a,P. verrucosa 3a
